,brand,model,year,Energy,gear_box,Trim,price
0,PEUGEOT,2008,2021,Electrique,Automatique,e-2008 136ch GT Pack,36890
1,NISSAN,Qashqai,2020,Diesel,Manuelle,1.5 dCi 115ch N-Connecta Euro6d-T,21890
2,RENAULT,Captur,2018,Essence,Manuelle,0.9 TCe 90ch energy Business Euro6c,14999
3,RENAULT,Kadjar,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Business - 21,23780
4,PEUGEOT,2008,2018,Essence,Manuelle,1.2 PureTech 130ch Crossway S&S,16490
5,NISSAN,Qashqai,2020,Essence,Automatique,1.3 DIG-T 158ch N-Connecta DCT 2021,26490
6,RENAULT,Clio,2021,Essence,Manuelle,1.0 TCe 90ch Business -21,16490
7,RENAULT,Captur,2021,Essence,Manuelle,1.0 TCe 90ch Business - 21,18990
8,PEUGEOT,308,2019,Diesel,Automatique,1.5 BlueHDi 130ch S&S Active Business EAT6,16999
9,RENAULT,Megane,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Business - 20,19590
10,PEUGEOT,3008,2019,Essence,Manuelle,1.2 PureTech 130ch S&S Active,23800
11,RENAULT,Megane,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Business -21B,20190
12,CITROEN,C3 Aircross,2021,Essence,Automatique,PureTech 130ch S&S Shine EAT6,25990
13,PEUGEOT,208,2022,Essence,Manuelle,1.2 PureTech 100ch S&S GT 118g,23999
14,PEUGEOT,308,2021,Diesel,Automatique,1.5 BlueHDi 130ch S&S GT Pack EAT8,35399
15,MINI,Mini,2019,Essence,Manuelle,One 102ch Heddon Street Euro6d-T,20790
16,PEUGEOT,2008,2019,Essence,Manuelle,1.2 PureTech 82ch E6.c Active S&S,14990
17,PEUGEOT,3008,2022,Hybride,Automatique,HYBRID 225ch GT e-EAT8,44998
18,PEUGEOT,308,2021,Essence,Manuelle,1.2 PureTech 110ch S&S Active Pack,21484
19,DACIA,Duster,2017,Essence,Manuelle,1.2 TCe 125ch Lauréate Plus 2017 4X2,13990
20,PEUGEOT,2008,2019,Essence,Manuelle,1.2 PureTech 82ch E6.c Active S&S,15690
21,RENAULT,Captur,2019,Essence,Manuelle,0.9 TCe 90ch Zen - 19,15999
22,DACIA,Duster,2018,Diesel,Manuelle,1.5 Blue dCi 115ch Prestige 4x2,17490
