brand,model,year,energy,gear_box,trim,price
PEUGEOT,2008,2021,Electrique,Automatique,e-2008 136ch GT Pack,36 890 €
NISSAN,Qashqai,2020,Diesel,Manuelle,1.5 dCi 115ch N-Connecta Euro6d-T,21 890 €
RENAULT,Captur,2018,Essence,Manuelle,0.9 TCe 90ch energy Business Euro6c,14 999 €
RENAULT,Kadjar,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Business - 21,23 780 €
PEUGEOT,2008,2018,Essence,Manuelle,1.2 PureTech 130ch Crossway S&S,16 490 €
NISSAN,Qashqai,2020,Essence,Automatique,1.3 DIG-T 158ch N-Connecta DCT 2021,26 490 €
RENAULT,Clio,2021,Essence,Manuelle,1.0 TCe 90ch Business -21,16 490 €
RENAULT,Captur,2021,Essence,Manuelle,1.0 TCe 90ch Business - 21,18 990 €
PEUGEOT,308,2019,Diesel,Automatique,1.5 BlueHDi 130ch S&S Active Business EAT6,16 999 €
RENAULT,Megane,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Business - 20,19 590 €
PEUGEOT,3008,2019,Essence,Manuelle,1.2 PureTech 130ch S&S Active,23 800 €
RENAULT,Megane,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Business -21B,20 190 €
CITROEN,C3 Aircross,2021,Essence,Automatique,PureTech 130ch S&S Shine EAT6,25 990 €
PEUGEOT,208,2022,Essence,Manuelle,1.2 PureTech 100ch S&S GT 118g,23 999 €
PEUGEOT,308,2021,Diesel,Automatique,1.5 BlueHDi 130ch S&S GT Pack EAT8,35 399 €
MINI,Mini,2019,Essence,Manuelle,One 102ch Heddon Street Euro6d-T,20 790 €
PEUGEOT,2008,2019,Essence,Manuelle,1.2 PureTech 82ch E6.c Active S&S,14 990 €
PEUGEOT,3008,2022,Hybride,Automatique,HYBRID 225ch GT e-EAT8,44 998 €
PEUGEOT,308,2021,Essence,Manuelle,1.2 PureTech 110ch S&S Active Pack,21 484 €
DACIA,Duster,2017,Essence,Manuelle,1.2 TCe 125ch Lauréate Plus 2017 4X2,13 990 €
PEUGEOT,2008,2019,Essence,Manuelle,1.2 PureTech 82ch E6.c Active S&S,15 690 €
RENAULT,Captur,2019,Essence,Manuelle,0.9 TCe 90ch Zen - 19,15 999 €
DACIA,Duster,2018,Diesel,Manuelle,1.5 Blue dCi 115ch Prestige 4x2,17 490 €
PEUGEOT,308,2022,Diesel,Automatique,1.5 BlueHDi 130ch S&S Allure Pack EAT8,33 889 €
PEUGEOT,208,2021,Essence,Manuelle,1.2 PureTech 100ch S&S Allure Pack,21 990 €
PEUGEOT,3008,2019,Essence,Automatique,1.2 PureTech 130ch Allure S&S EAT6,27 690 €
PEUGEOT,3008,2022,Diesel,Automatique,1.5 BlueHDi 130ch S&S Roadtrip EAT8,38 890 €
RENAULT,Kadjar,2020,Diesel,Manuelle,1.5 Blue dCi 115ch Business 131g,19 590 €
VOLKSWAGEN,Polo,2022,Essence,Manuelle,1.0 TSI 95ch Life,22 490 €
PEUGEOT,208,2021,Essence,Manuelle,1.2 PureTech 75ch S&S Active Business,17 799 €
PEUGEOT,2008,2021,Electrique,Automatique,e-2008 136ch GT Pack,36 890 €
NISSAN,Qashqai,2020,Diesel,Manuelle,1.5 dCi 115ch N-Connecta Euro6d-T,21 890 €
RENAULT,Captur,2018,Essence,Manuelle,0.9 TCe 90ch energy Business Euro6c,14 999 €
RENAULT,Kadjar,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Business - 21,23 780 €
PEUGEOT,2008,2018,Essence,Manuelle,1.2 PureTech 130ch Crossway S&S,16 490 €
NISSAN,Qashqai,2020,Essence,Automatique,1.3 DIG-T 158ch N-Connecta DCT 2021,26 490 €
RENAULT,Clio,2021,Essence,Manuelle,1.0 TCe 90ch Business -21,16 490 €
RENAULT,Captur,2021,Essence,Manuelle,1.0 TCe 90ch Business - 21,18 990 €
PEUGEOT,308,2019,Diesel,Automatique,1.5 BlueHDi 130ch S&S Active Business EAT6,16 999 €
RENAULT,Megane,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Business - 20,19 590 €
PEUGEOT,3008,2019,Essence,Manuelle,1.2 PureTech 130ch S&S Active,23 800 €
RENAULT,Megane,2021,Diesel,Manuelle,1.5 Blue dCi 115ch Business -21B,20 190 €
CITROEN,C3 Aircross,2021,Essence,Automatique,PureTech 130ch S&S Shine EAT6,25 990 €
PEUGEOT,208,2022,Essence,Manuelle,1.2 PureTech 100ch S&S GT 118g,23 999 €
PEUGEOT,308,2021,Diesel,Automatique,1.5 BlueHDi 130ch S&S GT Pack EAT8,35 399 €
